,subject,task,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,correct,prob_span,fig_fn
79,23_IDM_0080,CRDM,0.951807229,0.455696203,0.448979592,0.466666667,1,1,4,73,32.54711844,0.551651835,0.448249214,0.877228812,0,-32.54711844,-54.75862726,71.09423689,73.83313259,0.405625742,0.797468354,0.877523439,23_IDM_0080/crdm/23_IDM_0080_crdm_model_fit.eps
80,23_IDM_0081,CRDM,0.963855422,0.4625,0.46,0.466666667,0,4,15,61,14.31582273,1.062994137,0.799997453,1.026471307,0,-14.31582273,-55.45177444,34.63164546,37.39569873,0.741832919,0.9375,0.992039593,23_IDM_0081/crdm/23_IDM_0081_crdm_model_fit.eps
81,23_IDM_0082,CRDM,0.963855422,0.675,0.74,0.566666667,9,16,25,30,29.48047131,2.748496228,0.169304998,0.409576029,0,-29.48047131,-55.45177444,64.96094262,67.72499589,0.468358378,0.825,0.983021756,23_IDM_0082/crdm/23_IDM_0082_crdm_model_fit.eps
82,23_IDM_0083,CRDM,0.963855422,0.5375,0.6,0.433333333,0,12,18,50,5.170512725,8,0.25439832,0.660450733,1,-5.170512725,-55.45177444,16.34102545,19.10507872,0.906756587,0.9625,0.999999998,23_IDM_0083/crdm/23_IDM_0083_crdm_model_fit.eps
83,23_IDM_0084,CRDM,0.951807229,0.670886076,0.78,0.482758621,0,14,28,37,12.70159525,6.185475617,-0.386489923,0.389656606,0,-12.70159525,-54.75862726,31.4031905,34.1420862,0.768043943,0.936708861,0.99989799,23_IDM_0084/crdm/23_IDM_0084_crdm_model_fit.eps
84,23_IDM_0085,CRDM,0.963855422,0.775,0.84,0.666666667,0,12,33,35,28.41634175,3.713583532,-0.205854675,0.295608314,0,-28.41634175,-55.45177444,62.83268351,65.59673678,0.487548558,0.825,0.941197566,23_IDM_0085/crdm/23_IDM_0085_crdm_model_fit.eps
85,23_IDM_0086,CRDM,0.951807229,0.987341772,0.979591837,1,0,0,1,77,7.051914465,7.470673882,4.167,0.125,1,-7.051914465,-54.75862726,20.10382893,22.84272464,0.871218202,0.962025316,0.500322194,23_IDM_0086/crdm/23_IDM_0086_crdm_model_fit.eps
86,23_IDM_0087,CRDM,0.939759036,0.628205128,0.62,0.642857143,0,37,39,2,25.25431892,1.97286931,0.622453638,0.585258054,0,-25.25431892,-54.06548008,56.50863783,59.22205549,0.532893838,0.858974359,0.987829412,23_IDM_0087/crdm/23_IDM_0087_crdm_model_fit.eps
87,23_IDM_0088,CRDM,0.939759036,0.41025641,0.4375,0.366666667,2,21,32,22,40.92652166,0.236288205,-0.994441793,0.845246589,0,-40.92652166,-54.06548008,87.85304333,90.56646098,0.243019361,0.730769231,0.681013181,23_IDM_0088/crdm/23_IDM_0088_crdm_model_fit.eps
88,23_IDM_0089,CRDM,0.951807229,0.708860759,0.76,0.620689655,1,3,0,74,47.50535028,1.533398254,-0.448562776,0.125,1,-47.50535028,-54.75862726,101.0107006,103.7495963,0.132459073,0.683544304,0.33641976,23_IDM_0089/crdm/23_IDM_0089_crdm_model_fit.eps
89,23_IDM_0090,CRDM,0.951807229,0.810126582,0.775510204,0.866666667,7,12,18,42,28.35522183,2.906552055,0.574896664,0.229405664,0,-28.35522183,-54.75862726,62.71044367,65.44933937,0.482178001,0.886075949,0.733168703,23_IDM_0090/crdm/23_IDM_0090_crdm_model_fit.eps
90,23_IDM_0091,CRDM,0.963855422,0.5625,0.6,0.5,2,7,8,63,9.847904679,3.445110806,0.643599327,0.712521025,0,-9.847904679,-55.45177444,25.69580936,28.45986263,0.822405959,0.9125,0.999920147,23_IDM_0091/crdm/23_IDM_0091_crdm_model_fit.eps
